pred_id,settled_ts,actual_close,actual_yes,won,win_prob,cost,staked,pnl
576dbe58-bc87-4649-8271-9571aa0c0996,2026-06-14T07:13:28.486140+00:00,64245.85,0,1,0.2950,0.1000,25.00,225.00
bfbc7246-309f-4533-9501-c633fa8f5331,2026-06-14T07:13:28.486140+00:00,64245.85,0,1,0.8396,0.6700,25.00,12.31
4345c83d-7814-4ae5-85ed-5c5586bc621e,2026-06-14T07:13:28.486140+00:00,64245.85,1,0,0.1721,0.0200,25.00,-25.00
03669e07-04e3-4731-8a5e-049c236757c8,2026-06-14T07:13:28.486140+00:00,64245.85,0,0,0.2486,0.1100,25.00,-25.00
03351d54-9f3f-4f9c-a3f1-13c6e5655948,2026-06-14T07:13:28.486140+00:00,64245.85,0,0,0.1393,0.0300,25.00,-25.00
068841c8-8a12-446b-80ff-0a6fd59e1202,2026-06-14T07:13:28.486140+00:00,64245.85,0,1,0.4474,0.3500,25.00,46.43
6f2d1b95-a436-4dc8-9456-18fbe75fe5d0,2026-06-14T07:13:28.486140+00:00,64245.85,0,1,0.8476,0.7600,25.00,7.89
900568b0-f9c7-416d-a36f-82dc54cb17d1,2026-06-14T07:13:28.486140+00:00,64245.85,0,0,0.3922,0.3400,19.76,-19.76
cb91cd18-bfd9-4fa7-a153-a7d70ddf17e2,2026-06-14T07:13:28.486140+00:00,64245.85,0,1,0.8564,0.8200,25.00,5.49
fa4864a8-b074-487d-b833-67687a25116d,2026-06-14T07:13:28.486140+00:00,64245.85,1,1,0.1229,0.1000,6.37,57.33
e70991f5-0d12-4219-bc8e-edc31df2da2b,2026-06-14T07:13:28.486140+00:00,64245.85,1,0,0.1221,0.0200,25.00,-25.00
38892ca8-44fe-4770-ba7b-7a688d0179c2,2026-06-14T07:13:28.486140+00:00,64245.85,0,0,0.1296,0.1100,5.50,-5.50
4e5f4038-249f-42a1-9fa9-3163761cd3ce,2026-06-14T08:13:52.316047+00:00,64443.34,0,1,0.8387,0.6200,25.00,15.32
7eed8d10-5b37-4b32-9236-9c2f83314e71,2026-06-14T08:13:52.316047+00:00,64443.34,1,1,0.2660,0.0600,25.00,391.67
cb7d817b-dc34-4ccc-b990-13878a64560e,2026-06-14T08:13:52.316047+00:00,64443.34,1,1,0.4135,0.2400,25.00,79.17
